Easting,Northing,WaterDepth,Label,Date,Time,Roll,Pitch,Heading
0.5614811252705111,0.4420063492064438,44.73,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2923058427506616,0.3087999999996215,44.17,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2919692233711095,0.3088507936516451,44.33,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2911276749218791,0.3089269841261326,44.78,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2911517191633057,0.3089015873013034,44.49,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2911757634047323,0.3088761904764743,44.65,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2904784804040614,0.3091047619046673,44.82,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.290213993748509,0.3091301587294964,44.86,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2898052416446771,0.3092571428583728,44.96,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2895407549892646,0.3090285714278145,44.98,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2891320028852928,0.3092825396832019,45.0,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2892762683338522,0.3092825396832019,44.89,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2895407549892646,0.3094603174593713,44.66,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2889156047127335,0.3098158730164407,44.42,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2891079586440062,0.3101714285711447,44.29,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2885308968501882,0.3097904761916115,44.47,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2884587641260484,0.3098158730164407,44.71,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2882664101947758,0.309638095237906,45.11,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2882183217120626,0.3092317460311783,45.37,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2878095696080907,0.3088507936516451,45.46,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2881461889877829,0.3096888888899296,45.4,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2880740562636431,0.3095619047610533,45.03,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2884347198846219,0.3101714285711447,44.32,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2881461889877829,0.3097904761916115,44.64,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2881702332292095,0.3108825396829181,44.26,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2880500120222165,0.3107047619043834,44.36,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2881461889877829,0.3107809523812362,44.64,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2880740562636431,0.3105777777778724,44.89,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.287905746573797,0.3105015873010196,45.04,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2878817023323705,0.3105523809530432,45.14,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.287617215676958,0.3102222222231683,45.18,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2875691271941049,0.3099936507926101,45.1,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2876893484010978,0.3102222222231683,44.99,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.287737436883951,0.3103492063496794,44.82,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2877855253666642,0.3104761904761904,44.61,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2879297908150837,0.3105015873010196,44.54,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2880500120222165,0.3102730158728266,44.57,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.288194277470636,0.3103746031745085,44.8,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2880500120222165,0.3103492063496794,44.98,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2879538350565102,0.3103492063496794,44.95,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2879778792979368,0.3106031746027015,44.84,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2879538350565102,0.3106539682547251,44.65,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2878576580909439,0.3105523809530432,44.72,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2875450829526783,0.3115174603178388,44.89,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2874969944698252,0.3111365079359403,45.12,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2873767732628322,0.310755555556407,45.11,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2875691271941049,0.310755555556407,45.13,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2870401538831401,0.3105777777778724,44.96,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2870401538831401,0.3108317460308945,44.8,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2869680211590003,0.3109841269846,44.6,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2864871363308887,0.3109587301597709,44.47,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2865111805723153,0.3109587301597709,44.5,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.2866314017793082,0.3110603174614528,44.69,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
0.28612647270977,0.3108063492060653,45.0,0,20-02-27,20:50:47.502,-6.3,2.0,19.9
